"","Spite_z","SSES_z","SRPS_z","SJS_z","Justification_z","Realism_z","DoPL_z","Dominance_z","Leadership_z","Prestige_z","UMS_z","UMS_Intimacy_z","UMS_Affiliation_z"
"Spite_z",1,0.0780329650483144,-0.157271827124228,0.17933825513158,-0.136438283063096,0.216162090694708,0.241919858495084,0.476430777855602,-0.0284497583412726,0.062455724083947,-0.247914556839052,-0.290158456930508,-0.200242698325096
"SSES_z",0.0780329650483144,1,-0.379229677837678,0.215204218822624,-0.116034736904593,0.171618862118117,-0.253862756966934,-0.189780003025149,-0.273292916299543,-0.0601083550976373,-0.356809268482822,-0.27002544753846,-0.344242935855228
"SRPS_z",-0.157271827124228,-0.379229677837678,1,-0.254656488629181,0.115900746760102,-0.116267596106461,0.273000152503461,0.068115982907744,0.28476747416661,0.25784598217018,0.301776648864611,0.253118572197959,0.283343241598514
"SJS_z",0.17933825513158,0.215204218822624,-0.254656488629181,1,-0.193611887338757,0.165087037840389,0.0671743441784236,0.234436149718693,-0.0781434213111141,-0.0133975680156992,-0.0594451096386251,-0.0539948181160899,-0.0550997082783667
"Justification_z",-0.136438283063096,-0.116034736904593,0.115900746760102,-0.193611887338757,1,-0.186288645566653,-0.0225627484903067,-0.0559691987254141,-0.0532474115606908,0.0767362940987323,0.0619288137082613,0.132776924277753,0.0342323536377886
"Realism_z",0.216162090694708,0.171618862118117,-0.116267596106461,0.165087037840389,-0.186288645566653,1,-0.0568497874595871,0.0664880672081238,-0.119722519488578,-0.0911119475759472,-0.180539723496634,-0.169393237818089,-0.156910252782284
"DoPL_z",0.241919858495084,-0.253862756966934,0.273000152503461,0.0671743441784236,-0.0225627484903067,-0.0568497874595871,1,0.691727092964262,0.759374033032927,0.641767350312783,0.254487572675528,0.034103462627021,0.292662566618245
"Dominance_z",0.476430777855602,-0.189780003025149,0.068115982907744,0.234436149718693,-0.0559691987254141,0.0664880672081238,0.691727092964262,1,0.289089376306025,0.177931260905285,0.000475237608174847,-0.193524324407665,0.0638136050320847
"Leadership_z",-0.0284497583412726,-0.273292916299543,0.28476747416661,-0.0781434213111141,-0.0532474115606908,-0.119722519488578,0.759374033032927,0.289089376306025,1,0.349417293204883,0.274644207733946,0.078992597638981,0.291848673554127
"Prestige_z",0.062455724083947,-0.0601083550976373,0.25784598217018,-0.0133975680156992,0.0767362940987323,-0.0911119475759472,0.641767350312783,0.177931260905285,0.349417293204883,1,0.309540388429544,0.23710561887596,0.299428564024314
"UMS_z",-0.247914556839052,-0.356809268482822,0.301776648864611,-0.0594451096386251,0.0619288137082613,-0.180539723496634,0.254487572675528,0.000475237608174847,0.274644207733946,0.309540388429544,1,0.681297340125259,0.972209765049344
"UMS_Intimacy_z",-0.290158456930508,-0.27002544753846,0.253118572197959,-0.0539948181160899,0.132776924277753,-0.169393237818089,0.034103462627021,-0.193524324407665,0.078992597638981,0.23710561887596,0.681297340125259,1,0.507291661515543
"UMS_Affiliation_z",-0.200242698325096,-0.344242935855228,0.283343241598514,-0.0550997082783667,0.0342323536377886,-0.156910252782284,0.292662566618245,0.0638136050320847,0.291848673554127,0.299428564024314,0.972209765049344,0.507291661515543,1
